,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Productivity_g_yr,Trophic,Group,rmax
240,1,2,Mammal,Afrosoricida,Echinops telfairi,180,247.2916667,Carnivore,Eutherian,1.373842593
3,1,2,Mammal,Afrosoricida,Hemicentetes semispinosus,180,257,Carnivore,Eutherian,1.427777778
4,1,9,Mammal,Afrosoricida,Setifer setosus,225,154,Omnivore,Eutherian,0.684444444
674,1,2,Mammal,Afrosoricida,Tenrec ecaudatus,868,4577.34375,Carnivore,Eutherian,5.2734375
7,1,1,Mammal,Artiodactyla,Addax nasomaculatus,92500,19300,Herbivore,Eutherian,0.208648649
10,1,1,Mammal,Artiodactyla,Aepyceros melampus,45150,15802.5,Herbivore,Eutherian,0.35
20,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,159000,37500,Herbivore,Eutherian,0.235849057
21,1,1,Mammal,Artiodactyla,Alces alces,369000,109772.7076,Herbivore,Eutherian,0.297487012
16,1,1,Mammal,Artiodactyla,Ammotragus lervia,92500,45700,Herbivore,Eutherian,0.494054054
44,1,1,Mammal,Artiodactyla,Antidorcas marsupialis,27900,15624,Herbivore,Eutherian,0.56
45,1,1,Mammal,Artiodactyla,Antilocapra americana,42599.05843,20447.54805,Herbivore,Eutherian,0.48
46,1,1,Mammal,Artiodactyla,Antilope cervicapra,37500,14800,Herbivore,Eutherian,0.394666667
7210,1,1,Mammal,Artiodactyla,Axis axis,53000,12354.73195,Herbivore,Eutherian,0.23310815
29,1,1,Mammal,Artiodactyla,Axis porcinus,27000,9157.90806,Herbivore,Eutherian,0.33918178
30,1,1,Mammal,Artiodactyla,Babyrousa babyrussa,71500,31700,Herbivore,Eutherian,0.443356643
90,1,1,Mammal,Artiodactyla,Bison bison,590201.0802,188864.3457,Herbivore,Eutherian,0.32
37,1,1,Mammal,Artiodactyla,Bison bonasus,610000,143000,Herbivore,Eutherian,0.23442623
38,1,1,Mammal,Artiodactyla,Bos frontalis,825000,191000,Herbivore,Eutherian,0.231515152
